date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-09,AAL,2019-03-08,36.00,Call,1.32,1.52,0.3486,0.5273,0.1145,-0.0259,0.0397,0.0135
2019-02-16,ECL,2019-03-15,150.00,Put,0.30,0.50,0.2330,-0.0811,0.0143,-0.0275,0.0714,-0.0098
2019-02-09,AAL,2019-03-08,36.00,Put,1.26,1.46,0.3501,-0.4746,0.1154,-0.0238,0.0397,-0.0120
2019-02-16,ECL,2019-03-15,155.00,Call,8.90,10.10,0.1986,0.8489,0.0261,-0.0466,0.1060,0.0990
2019-02-09,AAL,2019-03-08,36.50,Call,1.06,1.17,0.3296,0.4665,0.1210,-0.0244,0.0396,0.0120
2019-02-16,ECL,2019-03-15,155.00,Put,0.75,1.00,0.2124,-0.1667,0.0262,-0.0413,0.1186,-0.0196
2019-02-09,AAL,2019-03-08,36.50,Put,1.52,1.59,0.3307,-0.5359,0.1221,-0.0222,0.0396,-0.0132
2019-02-16,ECL,2019-03-15,160.00,Call,5.00,5.70,0.1735,0.6958,0.0446,-0.0566,0.1583,0.0830
2019-02-09,AAL,2019-03-08,37.50,Call,0.67,0.86,0.3357,0.3551,0.1112,-0.0231,0.0371,0.0092
2019-02-09,AAL,2019-03-08,37.50,Put,2.13,2.35,0.3461,-0.6432,0.1100,-0.0216,0.0368,-0.0152
2019-02-16,ECL,2019-03-15,160.00,Put,1.75,1.95,0.1908,-0.3210,0.0420,-0.0522,0.1636,-0.0363
2019-02-09,AAL,2019-03-08,38.50,Call,0.40,0.60,0.3380,0.2579,0.0959,-0.0201,0.0322,0.0067
2019-02-16,ECL,2019-03-15,165.00,Call,2.25,2.60,0.1650,0.4452,0.0530,-0.0576,0.1788,0.0539
2019-02-09,AAL,2019-03-08,38.50,Put,2.85,3.05,0.3419,-0.7445,0.0971,-0.0181,0.0326,-0.0163
2019-02-16,ECL,2019-03-15,165.00,Put,3.40,4.20,0.1729,-0.5573,0.0518,-0.0501,0.1796,-0.0570
2019-02-09,AAL,2019-03-08,39.50,Call,0.21,0.50,0.3375,0.1774,0.0773,-0.0161,0.0259,0.0047
2019-02-09,AAL,2019-03-08,39.50,Put,3.60,3.90,0.3375,-0.8296,0.0792,-0.0137,0.0262,-0.0163
2019-02-16,ECL,2019-03-15,170.00,Call,0.70,0.95,0.1599,0.2067,0.0395,-0.0392,0.1292,0.0252
2019-02-09,AAL,2019-03-08,41.50,Call,0.05,0.12,0.3182,0.0609,0.0380,-0.0070,0.0120,0.0016
2019-02-16,ECL,2019-03-15,170.00,Put,7.10,8.00,0.1940,-0.7568,0.0376,-0.0428,0.1419,-0.0668
2019-02-09,AAL,2019-03-08,41.50,Put,5.30,5.90,0.3443,-0.9329,0.0443,-0.0066,0.0137,-0.0128
2019-02-16,ECL,2019-03-15,175.00,Call,0.15,0.30,0.1599,0.0704,0.0186,-0.0182,0.0610,0.0086
2019-02-09,AAL,2019-03-29,30.50,Call,5.75,6.05,0.3986,0.8912,0.0355,-0.0119,0.0246,0.0351
2019-02-16,ECL,2019-03-15,175.00,Put,10.30,13.20,0.1940,-0.9020,0.0235,-0.0214,0.0799,-0.0542
2019-02-09,AAL,2019-03-29,30.50,Put,0.26,0.66,0.3986,-0.1088,0.0357,-0.0098,0.0242,-0.0052
2019-02-16,ECL,2019-03-15,180.00,Call,0.00,0.70,0.1599,0.0175,0.0060,-0.0058,0.0195,0.0022
2019-02-09,AAL,2019-03-29,32.50,Call,4.10,4.35,0.3800,0.7966,0.0564,-0.0162,0.0373,0.0328
